monthly_income,dti_ratio,credit_history_years,education,region,gender,ethnicity,age_group,approved
4263.83,0.0724,7.5,No Degree,South,Female,Group_A,Adult,0
8931.87,0.3283,8.3,Bachelors,South,Female,Group_C,Adult,1
7687.29,0.2558,5.5,Bachelors,West,Female,Group_A,Adult,1
2473.95,0.1564,10.8,Masters,North,Female,Group_B,Adult,1
5859.03,0.2864,22.0,Bachelors,East,Female,Group_D,Young,1
1827.83,0.1257,22.8,High School,North,Female,Group_D,Young,0
5031.47,0.2417,6.0,No Degree,East,Male,Group_A,Adult,0
12693.98,0.3404,6.2,Masters,South,Male,Group_C,Senior,0
3059.64,0.0756,4.1,Masters,North,Non-Binary,Group_D,Young,0
3238.41,0.3552,7.9,Masters,North,Female,Group_B,Young,0
7201.29,0.0805,3.0,High School,East,Female,Group_A,Adult,1
2272.42,0.4494,7.3,High School,East,Female,Group_A,Adult,0
3581.81,0.1548,5.9,Masters,East,Male,Group_A,Adult,0
6622.45,0.1223,4.9,High School,South,Female,Group_A,Senior,0
3579.07,0.2668,7.3,Bachelors,West,Male,Group_B,Adult,0
4367.8,0.0647,7.1,High School,South,Non-Binary,Group_A,Adult,0
7130.19,0.4489,14.7,High School,East,Male,Group_B,Adult,1
6067.93,0.2233,13.2,Bachelors,West,Male,Group_B,Adult,1
5616.19,0.1198,10.5,Bachelors,East,Female,Group_A,Senior,1
4148.24,0.2528,16.4,Masters,West,Male,Group_A,Adult,1
5913.72,0.117,4.9,High School,Central,Male,Group_A,Senior,0
4619.92,0.4664,3.7,High School,Central,Male,Group_D,Adult,0
6178.94,0.2088,11.6,PhD,West,Female,Group_A,Adult,1
3833.5,0.316,12.0,High School,Central,Male,Group_A,Adult,0
4485.99,0.5785,12.1,Bachelors,East,Female,Group_A,Senior,0
2995.96,0.5046,9.6,No Degree,North,Male,Group_B,Senior,0
4829.49,0.7526,11.1,High School,West,Male,Group_D,Young,0
3276.4,0.1342,10.9,High School,Central,Female,Group_B,Senior,0
2815.73,0.2601,16.7,High School,West,Female,Group_A,Adult,0
5593.33,0.1992,22.3,Bachelors,East,Non-Binary,Group_D,Adult,1
5466.37,0.4911,12.7,High School,East,Non-Binary,Group_A,Young,0
7269.46,0.5483,8.8,High School,West,Female,Group_A,Young,0
3961.73,0.7105,9.4,Bachelors,South,Female,Group_B,Adult,0
6027.13,0.44,7.1,PhD,Central,Female,Group_C,Senior,0
6473.02,0.2155,8.9,High School,South,Female,Group_C,Adult,0
6138.81,0.2376,15.6,Bachelors,South,Male,Group_A,Young,1
3252.48,0.2714,7.1,Bachelors,East,Male,Group_A,Young,0
5295.87,0.1022,7.6,Bachelors,West,Female,Group_A,Adult,0
5896.24,0.1999,9.1,Bachelors,North,Female,Group_B,Adult,1
4932.44,0.8565,9.7,Bachelors,East,Female,Group_A,Senior,0
1731.53,0.4423,10.2,Masters,West,Male,Group_B,Young,0
5325.41,0.1382,5.8,High School,East,Female,Group_B,Adult,0
14857.58,0.256,5.5,Bachelors,East,Male,Group_A,Young,1
4105.08,0.2807,11.0,Bachelors,North,Male,Group_D,Senior,0
3415.1,0.1782,6.2,Bachelors,South,Male,Group_C,Adult,0
5923.45,0.2242,13.6,High School,Central,Female,Group_B,Adult,1
5745.6,0.1224,11.8,Bachelors,West,Male,Group_B,Adult,1
8922.82,0.337,3.3,Bachelors,Central,Female,Group_A,Adult,1
2620.36,0.3411,4.6,No Degree,Central,Female,Group_C,Young,0
7084.68,0.5231,4.5,Masters,West,Non-Binary,Group_B,Adult,0
6602.55,0.1919,8.4,Bachelors,West,Male,Group_A,Adult,0
4577.58,0.3261,16.0,Bachelors,North,Male,Group_B,Adult,1
5821.68,0.1596,11.6,High School,East,Female,Group_A,Adult,1
8223.32,0.4757,8.1,Bachelors,West,Male,Group_A,Adult,0
7601.93,0.3723,6.8,High School,West,Female,Group_A,Young,0
2775.23,0.0862,9.4,High School,Central,Male,Group_C,Senior,0
7406.25,0.2825,14.5,Bachelors,South,Female,Group_B,Adult,0
4758.35,0.2564,13.5,Masters,North,Female,Group_A,Adult,0
5097.15,0.4533,17.9,No Degree,South,Female,Group_A,Adult,0
5097.97,0.4266,11.0,Bachelors,West,Male,Group_A,Adult,0
4559.09,0.2919,8.6,Bachelors,Central,Male,Group_A,Adult,0
8918.24,0.4404,14.1,No Degree,West,Female,Group_C,Adult,0
4713.29,0.1189,8.9,Bachelors,East,Female,Group_A,Adult,1
2808.0,0.2883,8.9,No Degree,East,Female,Group_B,Adult,0
4036.91,0.0851,8.3,Bachelors,East,Male,Group_B,Adult,1
5374.11,0.2017,8.4,High School,South,Male,Group_C,Senior,0
9087.07,0.3126,13.7,Masters,South,Male,Group_C,Senior,0
6644.52,0.1651,16.7,Masters,South,Male,Group_C,Adult,1
3212.27,0.4196,8.3,Bachelors,North,Female,Group_A,Adult,0
17027.67,0.5674,19.2,High School,North,Male,Group_B,Adult,1
5610.46,0.2151,6.2,High School,South,Female,Group_C,Young,0
9299.31,0.069,4.7,High School,South,Male,Group_C,Adult,0
4555.74,0.436,14.2,High School,Central,Male,Group_D,Young,0
6416.83,0.0838,9.9,High School,West,Male,Group_A,Young,0
7478.1,0.3372,5.4,High School,East,Male,Group_A,Adult,0
9037.13,0.2016,12.5,High School,North,Male,Group_B,Adult,1
8338.88,0.0435,9.5,No Degree,East,Female,Group_A,Adult,0
7601.48,0.3543,8.2,Bachelors,North,Female,Group_A,Adult,0
4198.39,0.2842,9.3,High School,North,Female,Group_A,Adult,0
3692.75,0.5072,5.8,Bachelors,Central,Female,Group_A,Senior,0
5804.01,0.2215,3.5,High School,North,Male,Group_B,Young,0
7836.63,0.1813,6.5,High School,North,Female,Group_B,Senior,1
4396.83,0.186,10.2,No Degree,East,Male,Group_D,Adult,0
8371.48,0.2072,5.0,High School,Central,Male,Group_C,Adult,0
10160.96,0.106,11.6,High School,South,Female,Group_C,Adult,1
3108.33,0.086,5.2,High School,Central,Male,Group_B,Adult,0
3234.21,0.3836,5.0,High School,West,Female,Group_A,Young,0
4581.64,0.1807,11.6,No Degree,West,Male,Group_D,Adult,0
5731.92,0.326,7.0,High School,North,Female,Group_C,Adult,0
3780.9,0.0186,10.2,Bachelors,West,Male,Group_A,Adult,1
9663.4,0.1785,14.2,High School,South,Male,Group_B,Young,1
6075.58,0.2966,8.1,Bachelors,South,Male,Group_A,Adult,0
5012.67,0.1062,6.8,PhD,East,Female,Group_B,Young,1
2397.17,0.6794,9.0,Bachelors,South,Female,Group_C,Adult,0
2545.52,0.0367,4.2,High School,Central,Female,Group_A,Adult,0
5656.18,0.1157,8.3,Bachelors,East,Female,Group_A,Senior,1
1692.06,0.5013,12.2,High School,East,Female,Group_A,Adult,0
8154.45,0.0941,11.0,High School,Central,Male,Group_A,Adult,1
4541.09,0.0427,10.2,Bachelors,East,Female,Group_B,Adult,1
24873.21,0.4026,4.8,PhD,North,Female,Group_A,Adult,1
15583.35,0.3825,25.9,High School,West,Female,Group_A,Adult,1
4488.51,0.1458,5.8,Bachelors,Central,Female,Group_D,Adult,0
4660.28,0.1203,6.2,High School,South,Male,Group_D,Adult,0
8085.2,0.6132,14.4,Bachelors,Central,Female,Group_B,Adult,1
11517.08,0.1877,9.3,No Degree,East,Female,Group_A,Senior,1
2166.75,0.1665,13.2,No Degree,North,Female,Group_A,Young,0
2011.85,0.2431,3.9,PhD,North,Male,Group_B,Young,0
3601.06,0.4238,6.9,No Degree,Central,Female,Group_A,Adult,0
6577.23,0.2042,4.3,No Degree,East,Male,Group_D,Young,0
6300.83,0.2348,9.0,No Degree,West,Female,Group_A,Senior,1
8390.75,0.4006,16.1,High School,North,Male,Group_C,Young,0
2697.69,0.1673,8.2,Bachelors,Central,Male,Group_A,Adult,0
1543.69,0.2362,4.5,Masters,East,Female,Group_A,Adult,0
7547.77,0.2588,2.9,No Degree,East,Female,Group_D,Adult,0
3248.35,0.4596,7.2,High School,Central,Male,Group_C,Adult,0
1791.41,0.1357,2.4,Bachelors,West,Non-Binary,Group_B,Adult,0
5284.49,0.0121,8.1,High School,West,Female,Group_A,Young,1
7307.0,0.1749,7.5,Bachelors,West,Male,Group_B,Adult,0
4623.8,0.6275,10.8,High School,Central,Female,Group_A,Adult,0
3909.15,0.1577,12.5,High School,North,Female,Group_B,Adult,1
4538.35,0.3796,21.0,Bachelors,East,Female,Group_A,Adult,1
4083.5,0.2387,7.6,Bachelors,Central,Male,Group_A,Adult,0
2504.83,0.1253,11.2,Bachelors,East,Female,Group_B,Senior,0
3438.05,0.1763,7.1,High School,Central,Female,Group_B,Young,0
6378.19,0.437,6.3,Bachelors,West,Female,Group_D,Adult,0
5772.38,0.2561,15.9,High School,East,Female,Group_A,Adult,1
5345.6,0.0584,7.0,PhD,North,Female,Group_B,Adult,1
2988.2,0.0756,10.2,High School,South,Male,Group_C,Adult,0
4488.39,0.1567,9.3,No Degree,Central,Female,Group_A,Adult,0
1654.85,0.4031,6.2,High School,South,Female,Group_C,Adult,0
5373.52,0.2253,5.2,Masters,East,Female,Group_A,Young,0
10040.97,0.1993,8.5,Bachelors,East,Male,Group_A,Senior,1
2351.79,0.2159,6.9,High School,South,Female,Group_C,Young,0
3666.66,0.2283,9.2,No Degree,East,Male,Group_B,Adult,0
5793.86,0.2306,9.7,Bachelors,Central,Female,Group_A,Senior,0
9195.06,0.2202,9.4,Bachelors,East,Male,Group_A,Adult,1
3928.01,0.2228,4.3,High School,South,Male,Group_C,Adult,0
3476.83,0.3567,7.0,Masters,Central,Female,Group_B,Adult,0
1836.36,0.5615,5.4,High School,North,Female,Group_B,Adult,0
5175.64,0.0997,9.4,High School,North,Male,Group_B,Senior,0
13643.77,0.1813,10.6,Bachelors,North,Female,Group_C,Senior,1
5645.87,0.1859,13.7,No Degree,South,Male,Group_A,Young,1
4860.32,0.2841,9.3,High School,Central,Female,Group_A,Young,0
5773.54,0.1515,4.7,High School,North,Male,Group_B,Adult,1
4887.59,0.0963,10.7,Bachelors,North,Female,Group_A,Adult,1
3273.1,0.2843,11.5,Masters,South,Male,Group_C,Young,0
7417.82,0.2593,8.9,No Degree,Central,Male,Group_B,Adult,1
5502.08,0.1455,16.4,High School,West,Male,Group_B,Young,1
4958.24,0.2444,15.2,High School,North,Female,Group_B,Adult,0
3017.9,0.7227,13.7,High School,West,Male,Group_B,Young,0
9430.97,0.433,7.3,Bachelors,Central,Female,Group_A,Adult,1
6852.38,0.1973,5.2,High School,South,Female,Group_A,Adult,0
3727.67,0.4132,19.1,Masters,North,Female,Group_C,Adult,0
8110.48,0.1187,8.5,High School,West,Male,Group_B,Young,1
3832.28,0.0574,9.0,Bachelors,North,Male,Group_A,Adult,1
3324.25,0.2233,5.0,Bachelors,Central,Male,Group_A,Senior,0
3361.52,0.4786,8.7,High School,North,Male,Group_A,Adult,0
2027.31,0.2272,8.3,Masters,North,Female,Group_A,Adult,0
6221.53,0.5961,15.9,Masters,East,Male,Group_A,Adult,1
1967.32,0.2952,14.1,Masters,West,Male,Group_B,Adult,0
2659.19,0.5415,11.6,No Degree,North,Female,Group_A,Young,0
1740.98,0.1692,11.0,High School,East,Male,Group_B,Adult,0
4707.75,0.3133,12.6,High School,Central,Male,Group_C,Adult,0
4558.91,0.1632,7.3,Bachelors,South,Female,Group_A,Young,0
4174.09,0.8265,4.4,Bachelors,East,Female,Group_A,Adult,0
2918.17,0.1838,14.1,High School,East,Male,Group_A,Young,0
2734.99,0.0086,6.6,Bachelors,West,Female,Group_B,Adult,1
6199.26,0.2266,9.5,Bachelors,South,Male,Group_C,Adult,0
3732.09,0.5549,9.1,High School,West,Female,Group_A,Adult,0
5757.04,0.2895,4.8,High School,South,Female,Group_C,Adult,0
3156.99,0.563,14.1,Bachelors,East,Male,Group_B,Senior,0
5380.47,0.2174,10.0,Masters,North,Female,Group_B,Adult,1
9429.88,0.652,9.1,High School,North,Male,Group_A,Adult,1
6588.51,0.6876,10.8,Bachelors,East,Female,Group_C,Young,0
3998.97,0.1565,7.0,High School,North,Female,Group_B,Senior,0
5589.24,0.6646,9.2,Masters,North,Male,Group_A,Adult,0
4357.56,0.1653,15.7,High School,Central,Male,Group_C,Adult,0
4934.17,0.1283,4.5,Bachelors,West,Male,Group_A,Adult,0
4176.36,0.0285,8.0,High School,East,Male,Group_B,Adult,0
4527.08,0.2061,8.1,High School,West,Female,Group_B,Young,0
5464.6,0.1705,8.6,Bachelors,East,Male,Group_A,Young,1
2990.87,0.4042,10.5,Bachelors,East,Male,Group_B,Adult,0
2957.38,0.3375,6.8,Bachelors,West,Female,Group_A,Adult,0
2454.62,0.0973,6.2,High School,South,Male,Group_C,Senior,0
2208.05,0.0678,8.6,Bachelors,West,Female,Group_C,Senior,0
2674.07,0.2426,9.1,Bachelors,South,Non-Binary,Group_B,Adult,0
5322.67,0.3387,3.0,Bachelors,North,Male,Group_A,Adult,0
3145.12,0.4509,18.0,Masters,East,Male,Group_B,Adult,0
6353.79,0.4013,9.6,No Degree,South,Male,Group_C,Young,0
5000.82,0.2277,9.3,High School,North,Female,Group_B,Adult,1
1836.74,0.1565,9.7,No Degree,West,Female,Group_D,Adult,0
6819.13,0.5195,10.2,Bachelors,West,Male,Group_B,Young,1
7371.67,0.2941,8.3,No Degree,North,Female,Group_B,Adult,0
2990.12,0.0818,12.7,High School,West,Female,Group_D,Young,0
6063.82,0.1641,11.1,High School,West,Non-Binary,Group_A,Adult,0
3202.7,0.528,14.7,Bachelors,North,Female,Group_A,Senior,0
5160.74,0.1207,3.9,High School,West,Male,Group_A,Adult,0
2611.68,0.2353,6.7,No Degree,West,Female,Group_A,Young,0
2005.1,0.0458,3.7,High School,East,Female,Group_A,Adult,0
4058.59,0.3089,8.3,High School,Central,Male,Group_A,Adult,0
4619.93,0.0561,13.0,Bachelors,North,Non-Binary,Group_B,Young,1
4028.54,0.2159,6.7,High School,South,Male,Group_C,Adult,0
2718.91,0.1511,17.8,PhD,North,Female,Group_A,Adult,1
4024.08,0.2975,8.1,PhD,South,Male,Group_C,Young,0
5623.15,0.3125,4.7,Masters,North,Male,Group_A,Adult,1
4805.68,0.327,8.5,Bachelors,East,Male,Group_A,Senior,0
5384.34,0.3646,11.3,Masters,Central,Female,Group_A,Adult,1
3515.52,0.3196,7.0,Masters,Central,Male,Group_C,Adult,0
8829.55,0.1814,13.6,Masters,North,Male,Group_D,Senior,1
2729.61,0.453,6.1,High School,East,Male,Group_D,Young,0
6271.56,0.3096,13.5,Bachelors,West,Female,Group_A,Adult,0
8874.57,0.0426,8.7,Bachelors,South,Female,Group_A,Young,1
6250.73,0.5466,4.4,Bachelors,North,Male,Group_A,Senior,0
4441.46,0.3207,13.6,No Degree,West,Male,Group_A,Young,1
3773.85,0.4837,10.1,High School,East,Female,Group_B,Adult,1
8250.62,0.2256,10.6,Masters,East,Male,Group_A,Adult,1
2412.73,0.6778,16.4,Bachelors,West,Male,Group_B,Adult,0
3025.82,0.4151,5.0,Bachelors,East,Female,Group_B,Young,0
4028.79,0.3055,9.8,High School,East,Female,Group_D,Adult,0
9125.49,0.1839,11.8,Bachelors,North,Female,Group_A,Adult,1
5942.49,0.1781,5.0,Masters,North,Female,Group_C,Young,0
3028.97,0.1669,8.7,Bachelors,East,Female,Group_B,Adult,0
4208.44,0.0778,4.7,Masters,West,Female,Group_A,Adult,1
3614.97,0.411,8.4,Masters,East,Non-Binary,Group_C,Adult,0
3446.47,0.1754,8.2,High School,East,Male,Group_A,Senior,0
8018.0,0.4208,8.9,Bachelors,South,Male,Group_C,Adult,0
2475.33,0.1736,8.5,High School,Central,Male,Group_B,Young,0
10986.15,0.5298,17.0,High School,East,Male,Group_B,Adult,1
7436.2,0.3716,18.2,Bachelors,West,Female,Group_B,Adult,1
8479.7,0.0509,6.6,Bachelors,West,Male,Group_A,Senior,1
3899.21,0.3428,4.9,High School,Central,Female,Group_A,Adult,0
4559.78,0.185,5.2,High School,West,Non-Binary,Group_A,Senior,1
2400.48,0.1736,13.6,Bachelors,East,Female,Group_B,Adult,1
3780.72,0.1362,11.0,High School,West,Female,Group_A,Adult,1
6290.7,0.5099,12.4,High School,Central,Female,Group_B,Adult,1
9395.93,0.3342,15.4,PhD,North,Non-Binary,Group_B,Adult,1
2825.45,0.625,6.3,High School,East,Female,Group_C,Young,0
4093.87,0.1583,13.7,High School,Central,Male,Group_A,Adult,0
4556.68,0.2764,7.6,Bachelors,Central,Male,Group_A,Senior,0
2445.75,0.5251,8.8,Masters,South,Female,Group_A,Adult,0
6605.61,0.1011,9.4,Masters,Central,Male,Group_C,Young,0
3422.08,0.4579,6.8,High School,Central,Female,Group_B,Adult,0
4457.33,0.4128,15.7,Bachelors,East,Female,Group_A,Adult,0
3920.7,0.4637,13.8,High School,North,Male,Group_C,Adult,0
3312.08,0.0416,3.7,PhD,Central,Male,Group_A,Adult,1
4897.49,0.5558,11.6,High School,East,Female,Group_B,Adult,0
4412.49,0.3788,21.3,High School,Central,Male,Group_A,Senior,0
4080.89,0.2876,15.7,High School,Central,Female,Group_B,Adult,1
3414.44,0.685,8.0,High School,South,Female,Group_C,Adult,0
5766.16,0.0773,12.0,High School,Central,Male,Group_B,Adult,1
11235.22,0.3402,15.3,High School,East,Male,Group_A,Senior,1
5270.83,0.6682,6.9,High School,North,Female,Group_B,Senior,0
8087.37,0.3131,3.7,Bachelors,North,Male,Group_A,Young,0
2452.56,0.5099,4.3,Bachelors,East,Female,Group_C,Adult,0
5318.15,0.2091,7.5,High School,East,Female,Group_B,Young,0
2839.31,0.0872,14.0,No Degree,North,Male,Group_A,Adult,0
2348.51,0.4991,20.4,High School,East,Female,Group_A,Adult,0
3395.87,0.544,9.6,High School,West,Male,Group_C,Senior,0
8919.09,0.4318,12.9,Masters,East,Male,Group_C,Adult,0
7903.08,0.3007,7.1,High School,East,Male,Group_A,Adult,0
5549.72,0.1933,23.1,High School,South,Male,Group_C,Adult,0
2283.92,0.0828,12.0,Bachelors,West,Female,Group_A,Young,0
4455.34,0.2291,7.0,High School,East,Female,Group_D,Senior,0
5715.0,0.4183,10.6,High School,West,Male,Group_A,Senior,0
5365.62,0.3117,5.3,Bachelors,North,Non-Binary,Group_B,Adult,0
1954.92,0.4444,14.1,No Degree,Central,Male,Group_D,Adult,0
3149.0,0.2355,5.9,High School,South,Female,Group_C,Young,0
4759.8,0.2163,20.0,Bachelors,East,Male,Group_B,Adult,1
6426.24,0.5025,11.6,High School,North,Female,Group_D,Adult,0
1639.15,0.231,10.5,High School,East,Male,Group_A,Senior,0
4532.09,0.0628,12.2,PhD,South,Female,Group_C,Adult,1
5279.17,0.3396,14.6,Bachelors,Central,Female,Group_A,Adult,1
7516.13,0.2331,12.2,Bachelors,North,Female,Group_B,Young,1
6949.53,0.3709,9.2,Bachelors,Central,Non-Binary,Group_D,Senior,1
6576.68,0.1626,21.1,Bachelors,West,Female,Group_A,Young,1
3294.57,0.5626,4.8,High School,West,Male,Group_A,Young,0
1893.15,0.2716,10.0,Bachelors,West,Female,Group_B,Adult,0
4037.87,0.1738,10.7,Bachelors,West,Female,Group_C,Adult,0
8109.7,0.1869,4.7,Bachelors,South,Female,Group_C,Adult,0
9864.79,0.239,14.6,High School,Central,Female,Group_A,Young,1
7011.27,0.2153,5.5,PhD,North,Male,Group_B,Adult,1
6091.63,0.3874,5.2,Bachelors,Central,Female,Group_A,Adult,0
5942.11,0.2333,10.2,High School,East,Male,Group_C,Adult,0
3721.72,0.1349,10.7,High School,Central,Male,Group_B,Adult,1
4605.33,0.4813,11.5,Bachelors,Central,Non-Binary,Group_A,Young,0
11322.36,0.1395,10.7,High School,East,Female,Group_A,Adult,1
3067.82,0.1322,12.4,Masters,North,Male,Group_B,Young,0
11019.14,0.0296,13.2,Bachelors,South,Female,Group_C,Adult,1
4183.84,0.687,8.7,High School,East,Male,Group_A,Adult,0
9534.92,0.2495,8.3,High School,South,Non-Binary,Group_A,Adult,1
2432.3,0.2376,7.6,High School,North,Male,Group_A,Adult,0
6587.65,0.3622,5.3,High School,Central,Male,Group_A,Adult,0
3400.29,0.0669,8.1,High School,East,Male,Group_A,Young,1
2422.04,0.2923,12.7,High School,North,Female,Group_A,Young,0
5482.23,0.1748,12.7,High School,East,Male,Group_A,Adult,0
8141.55,0.1825,6.8,Bachelors,North,Male,Group_A,Senior,1
3221.26,0.4955,17.0,Bachelors,North,Female,Group_A,Adult,0
2322.71,0.3476,14.2,High School,South,Female,Group_B,Senior,0
4694.17,0.5336,26.1,PhD,East,Male,Group_B,Young,1
4704.54,0.0498,7.5,High School,West,Male,Group_D,Adult,1
6465.01,0.3968,16.2,No Degree,West,Male,Group_B,Adult,0
7901.42,0.7103,10.8,Bachelors,East,Male,Group_B,Adult,0
4770.91,0.5152,12.6,Masters,South,Male,Group_B,Adult,1
12428.55,0.3463,9.2,Bachelors,North,Female,Group_A,Adult,1
5497.88,0.243,7.3,High School,South,Male,Group_C,Young,0
4133.12,0.2811,14.3,PhD,Central,Male,Group_C,Adult,1
2195.61,0.1646,4.2,High School,North,Male,Group_D,Adult,0
4309.9,0.098,19.2,Masters,West,Male,Group_D,Adult,1
4153.91,0.2859,12.9,Bachelors,East,Female,Group_A,Young,0
7943.84,0.1249,9.7,Bachelors,North,Female,Group_D,Adult,0
6193.41,0.0951,2.9,Bachelors,Central,Male,Group_A,Adult,1
2725.25,0.5392,7.5,Bachelors,East,Male,Group_A,Young,0
5356.83,0.5001,11.3,PhD,Central,Male,Group_B,Adult,0
6875.82,0.4239,9.3,High School,Central,Male,Group_A,Young,0
10551.42,0.2288,9.4,Bachelors,West,Female,Group_D,Adult,1
7659.88,0.2402,19.7,High School,West,Female,Group_B,Adult,1
7189.83,0.4302,12.6,High School,Central,Female,Group_B,Adult,1
5064.66,0.1177,4.7,High School,South,Male,Group_C,Adult,0
5967.93,0.3855,7.0,High School,Central,Male,Group_D,Adult,0
9179.72,0.4298,14.6,Bachelors,East,Female,Group_A,Senior,1
2524.03,0.1925,5.1,High School,North,Male,Group_B,Young,1
4126.89,0.1491,7.6,High School,East,Non-Binary,Group_A,Adult,0
3339.97,0.2767,9.3,Bachelors,West,Female,Group_B,Adult,1
5940.67,0.3157,14.5,No Degree,Central,Male,Group_A,Adult,0
9091.64,0.0739,20.0,Masters,North,Female,Group_A,Young,1
3646.46,0.4036,13.0,Bachelors,East,Female,Group_A,Adult,0
1487.49,0.6263,5.4,High School,Central,Female,Group_A,Adult,0
3999.36,0.2957,6.7,High School,West,Female,Group_B,Young,0
7759.99,0.0412,4.7,No Degree,South,Male,Group_C,Senior,0
6430.55,0.2821,6.9,High School,East,Male,Group_A,Adult,1
6088.11,0.2287,13.6,High School,North,Female,Group_A,Senior,0
4272.71,0.325,9.0,High School,North,Male,Group_B,Adult,0
2592.78,0.1363,11.0,High School,North,Female,Group_C,Adult,0
6359.13,0.289,8.2,Masters,South,Female,Group_C,Young,1
3238.48,0.4556,8.1,High School,West,Male,Group_A,Adult,0
14647.84,0.2138,14.7,High School,West,Female,Group_C,Young,0
6537.13,0.0637,4.3,PhD,West,Male,Group_A,Young,1
3676.35,0.2358,8.2,Bachelors,West,Female,Group_B,Senior,0
3620.28,0.2659,5.9,PhD,Central,Male,Group_B,Senior,0
4691.6,0.6004,10.6,High School,North,Male,Group_A,Adult,0
4360.09,0.1323,4.0,High School,North,Male,Group_B,Senior,1
8590.54,0.2492,14.4,High School,West,Male,Group_B,Young,1
5394.89,0.4159,12.4,Bachelors,North,Female,Group_A,Young,0
3409.03,0.1258,12.6,High School,South,Female,Group_C,Adult,0
12647.57,0.1361,20.1,Bachelors,East,Male,Group_B,Adult,1
5037.44,0.3045,6.7,High School,South,Male,Group_C,Adult,0
7218.63,0.0812,16.5,High School,East,Female,Group_B,Adult,1
3626.0,0.6706,7.5,No Degree,Central,Male,Group_D,Young,0
5893.22,0.1739,12.7,High School,North,Female,Group_A,Adult,0
5741.95,0.3192,5.0,Bachelors,West,Male,Group_A,Adult,0
1910.61,0.2526,13.2,Bachelors,Central,Female,Group_B,Adult,0
13462.15,0.3563,4.9,Bachelors,West,Female,Group_B,Adult,0
9370.5,0.1129,3.4,High School,North,Female,Group_C,Adult,0
4029.52,0.2632,7.5,No Degree,North,Male,Group_B,Young,0
2832.36,0.5278,16.6,PhD,North,Male,Group_B,Adult,0
5847.57,0.3947,6.5,High School,Central,Female,Group_A,Adult,0
5132.5,0.1151,9.2,High School,East,Female,Group_B,Young,1
5871.32,0.4022,11.3,High School,Central,Female,Group_A,Adult,1
5408.83,0.2132,11.9,No Degree,North,Female,Group_A,Young,1
6330.41,0.2092,10.1,High School,North,Male,Group_A,Adult,1
10134.01,0.4618,10.1,Bachelors,Central,Male,Group_A,Adult,1
6529.28,0.1061,7.8,High School,East,Non-Binary,Group_B,Adult,1
2907.86,0.2335,12.5,High School,North,Male,Group_B,Senior,0
9713.59,0.2568,19.1,High School,West,Female,Group_A,Adult,1
11162.41,0.1591,14.9,High School,North,Female,Group_A,Young,1
23766.41,0.2419,19.6,Bachelors,North,Female,Group_A,Adult,1
2802.46,0.2634,8.3,Bachelors,West,Female,Group_B,Senior,1
5549.38,0.1949,8.8,High School,West,Male,Group_A,Senior,1
1735.33,0.3666,17.5,Bachelors,East,Male,Group_A,Adult,0
6480.64,0.6563,8.8,PhD,West,Female,Group_C,Adult,0
3736.48,0.3662,7.6,Masters,East,Female,Group_A,Adult,0
12858.02,0.3691,9.2,High School,Central,Female,Group_A,Adult,1
3336.55,0.5873,6.8,High School,North,Female,Group_D,Adult,0
2112.04,0.2587,14.2,Masters,North,Male,Group_A,Adult,0
3883.02,0.3036,3.4,Bachelors,North,Male,Group_A,Adult,0
1830.34,0.0917,10.2,High School,North,Non-Binary,Group_B,Adult,0
7154.88,0.5175,21.1,PhD,West,Female,Group_A,Young,1
1750.15,0.1698,10.5,Bachelors,South,Male,Group_A,Young,0
4985.2,0.1104,10.6,High School,North,Male,Group_B,Adult,0
1739.05,0.4624,4.4,No Degree,West,Female,Group_A,Adult,0
4187.47,0.3435,3.3,Bachelors,West,Male,Group_A,Adult,0
11177.85,0.6734,1.3,High School,North,Male,Group_B,Adult,0
5885.95,0.2706,15.7,Masters,North,Male,Group_D,Adult,1
3191.52,0.0112,8.6,Masters,Central,Male,Group_A,Adult,1
4838.68,0.2609,5.0,High School,North,Female,Group_D,Adult,0
4959.24,0.0778,11.1,Bachelors,West,Non-Binary,Group_C,Young,0
6224.92,0.1288,13.7,High School,North,Female,Group_B,Senior,1
2481.38,0.3634,11.7,High School,North,Male,Group_D,Young,0
6609.63,0.1784,8.7,High School,North,Female,Group_B,Senior,1
1271.31,0.0365,12.2,High School,North,Female,Group_A,Adult,0
3586.95,0.3372,4.9,PhD,North,Female,Group_A,Adult,0
3850.13,0.2984,12.5,No Degree,West,Male,Group_C,Adult,0
6745.72,0.3998,10.9,High School,East,Male,Group_A,Adult,0
4970.7,0.2528,14.5,Bachelors,North,Female,Group_D,Senior,1
2433.82,0.4404,15.7,Bachelors,North,Female,Group_A,Adult,0
3003.41,0.1144,15.9,No Degree,East,Male,Group_A,Young,1
5428.08,0.5017,11.8,No Degree,East,Male,Group_A,Adult,0
4724.26,0.1255,5.3,Bachelors,West,Male,Group_A,Adult,0
3679.15,0.3873,11.1,High School,West,Male,Group_A,Adult,0
3864.48,0.5264,14.9,Bachelors,West,Male,Group_B,Adult,0
6961.04,0.5213,11.6,Masters,East,Non-Binary,Group_A,Young,0
3793.91,0.6261,9.2,Bachelors,South,Male,Group_B,Young,0
4702.99,0.3514,4.4,Masters,North,Male,Group_D,Young,0
14544.5,0.115,6.9,Bachelors,North,Male,Group_D,Adult,1
2411.87,0.2372,7.0,No Degree,West,Female,Group_C,Adult,0
